,user,num_of_hits,total_seconds
810,183.78.80.189,2,8.0
811,183.78.81.47,2,12.0
812,183.78.84.201,1,0.0
813,183.78.84.245,6,89.0
814,183.78.90.244,1,0.0
815,184.72.112.212,5,1075.0
816,202.168.64.145,1,0.0
817,202.168.68.247,1,0.0
818,202.184.120.110,2,4.0
819,202.184.3.163,2,2.0
820,202.185.131.128,2,1.0
821,202.185.46.126,295,116619.0
822,202.185.50.187,2,3.0
823,202.186.106.24,3,4.0
824,202.186.169.32,3,50.0
825,202.186.170.225,2,1.0
826,202.186.54.255,36,123.0
827,202.186.87.248,89,1542.0
828,202.187.187.206,35,245.0
829,202.187.203.115,1,0.0
830,202.187.241.197,2,2.0
831,202.187.41.49,2,5.0
832,202.187.44.44,1,0.0
833,202.188.199.105,2,1.0
834,202.188.26.141,2,3.0
835,202.188.83.101,1,0.0
836,202.190.116.239,2,4.0
837,202.190.2.103,1,0.0
838,202.190.206.214,4,45.0
839,202.190.74.185,39,228.0
840,202.190.84.142,2,3.0
841,203.106.143.56,2,3.0
842,203.106.159.70,1,0.0
843,203.106.224.19,2,4.0
844,203.106.70.65,1,0.0
845,203.82.75.132,27,449410.0
846,203.82.75.133,18,370338.0
847,203.82.75.134,34,448871.0
848,209.190.95.42,1,0.0
849,210.186.190.152,2,2.0
850,210.186.195.164,98,8128.0
851,210.186.5.93,2,1.0
852,210.187.212.110,2,2.0
853,210.187.225.202,2,8.0
854,210.187.255.161,2,3.0
855,210.195.105.120,2,4.0
856,210.195.148.237,2,6.0
857,210.195.158.50,1,0.0
858,210.195.215.13,37,188.0
859,210.195.51.114,2,6.0
860,210.195.80.212,2,3.0
