,user,path
106,113.210.126.58,['quiz']
107,113.210.127.180,['quiz']
108,113.210.48.54,['quiz']
109,113.210.49.177,"['quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'sign_up', 'login', 'login', 'login', 'login', 'login', 'dashboard', 'profile', 'profile', 'faq', 'faq', 'login', 'dashboard', 'dashboard', 'scoreboard', 'scoreboard', 'dashboard', 'logout']"
110,113.210.49.177,"['landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page']"
111,113.210.49.206,"['quiz', 'login']"
112,113.210.49.35,['quiz']
113,113.210.51.101,['quiz']
114,113.210.51.119,['quiz']
115,113.210.52.223,['quiz']
116,113.210.53.100,['quiz']
117,113.210.53.172,['quiz']
118,113.210.53.176,"['quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'sign_up', 'login', 'login', 'login', 'login', 'login', 'login', 'scoreboard', 'scoreboard', 'profile', 'dashboard', 'faq', 'dashboard', 'dashboard', 'dashboard', 'profile', 'faq', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'scoreboard', 'scoreboard', 'profile', 'profile', 'available_rewards', 'available_rewards', 'profile', 'profile', 'scoreboard', 'scoreboard', 'scoreboard', 'scoreboard']"
119,113.210.53.183,['quiz']
120,113.210.53.237,['quiz']
121,113.210.53.67,"['quiz', 'login']"
122,113.210.54.164,['quiz']
123,113.210.54.202,"['scoreboard', 'login']"
124,113.210.54.69,['quiz']
125,113.210.55.10,"['scoreboard', 'login', 'dashboard', 'login', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'logout']"
126,113.210.55.10,"['login', 'dashboard', 'dashboard', 'login', 'quiz', 'login', 'available_rewards', 'logout']"
127,113.210.55.10,"['login', 'dashboard', 'login', 'dashboard', 'sign_up', 'login', 'login', 'dashboard', 'logout']"
128,113.210.55.10,"['login', 'sign_up', 'login', 'login', 'login', 'dashboard', 'login', 'dashboard', 'available_rewards', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'logout']"
129,113.210.55.10,"['login', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'logout']"
130,113.210.55.10,"['login', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'logout']"
131,113.210.55.10,"['login', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'logout']"
132,113.210.55.10,"['login', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'logout']"
133,113.210.55.10,"['login', 'login', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard']"
134,113.210.55.10,"['dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard', 'dashboard']"
135,113.210.56.117,['quiz']
136,113.210.56.135,['quiz']
137,113.210.56.168,"['quiz', 'login']"
138,113.210.56.197,['quiz']
139,113.210.56.2,['quiz']
140,113.210.56.235,"['quiz', 'login']"
141,113.210.56.247,['quiz']
142,113.210.57.100,['quiz']
143,113.210.57.160,['quiz']
144,113.210.57.197,['quiz']
145,113.210.57.20,['quiz']
146,113.210.57.20,['quiz']
147,113.210.57.249,['quiz']
148,113.210.57.50,['quiz']
149,113.210.58.156,['quiz']
150,113.210.58.192,['quiz']
151,113.210.58.56,['quiz']
152,113.210.59.128,"['quiz', 'login']"
153,113.210.59.45,['quiz']
154,113.210.59.91,['quiz']
155,113.210.60.180,['quiz']
156,113.210.60.180,['quiz']
157,113.210.61.148,['quiz']
158,113.210.62.78,['quiz']
159,113.210.63.206,['quiz']
160,113.210.63.230,"['quiz', 'login']"
161,113.210.96.142,"['quiz', 'quiz', 'quiz']"
162,113.210.97.53,['quiz']
163,113.210.99.101,['quiz']
164,113.211.102.189,['quiz']
165,113.211.105.125,['quiz']
166,113.211.106.230,['quiz']
167,113.211.110.47,['quiz']
168,113.211.110.54,['quiz']
169,113.211.112.152,['quiz']
170,113.211.116.164,"['quiz', 'login']"
171,113.211.116.240,"['quiz', 'login', 'quiz', 'login']"
172,113.211.116.249,['quiz']
173,113.211.117.112,"['quiz', 'login']"
174,113.211.119.48,"['quiz', 'login']"
175,113.211.124.15,['quiz']
176,113.211.126.47,['quiz']
177,113.211.127.254,['quiz']
178,113.211.127.56,['quiz']
179,113.211.127.81,"['quiz', 'quiz', 'login']"
180,113.211.128.107,['quiz']
181,113.211.128.229,['quiz']
182,113.211.130.218,"['quiz', 'login']"
183,113.211.130.70,['quiz']
184,113.211.136.133,['quiz']
185,113.211.139.162,"['quiz', 'login', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'landing_page', 'sign_up', 'login', 'quiz']"
186,113.211.141.242,['quiz']
187,113.211.143.186,['quiz']
188,113.211.144.16,['quiz']
189,113.211.147.93,['quiz']
190,113.211.148.105,['quiz']
191,113.211.148.206,['quiz']
192,113.211.154.53,['quiz']
193,113.211.155.205,['quiz']
194,113.211.157.135,['quiz']
195,113.211.157.179,"['quiz', 'login']"
196,113.211.162.74,"['quiz', 'login', 'quiz', 'login']"
197,113.211.163.78,"['quiz', 'login']"
198,113.211.164.160,['quiz']
199,113.211.165.187,['quiz']
200,113.211.170.9,['quiz']
201,113.211.178.134,['quiz']
202,113.211.178.168,"['quiz', 'login']"
203,113.211.178.236,"['quiz', 'login']"
204,113.211.180.68,['quiz']
205,113.211.188.221,"['quiz', 'quiz']"
206,113.211.189.213,['quiz']
207,113.211.208.64,['quiz']
208,113.211.208.79,"['quiz', 'login']"
209,113.211.208.89,"['quiz', 'login']"
210,113.211.98.149,['quiz']
211,113.211.98.43,"['quiz', 'login']"
212,113.96.219.105,['quiz']
213,114.5.215.11,['quiz']
214,115.132.168.144,['quiz']
215,115.132.174.58,['quiz']
216,115.132.179.31,"['quiz', 'login']"
217,115.132.2.65,['quiz']
218,115.132.46.17,['quiz']
219,115.132.46.4,['quiz']
220,115.133.10.96,"['quiz', 'login']"
221,115.133.102.210,"['quiz', 'login']"
222,115.133.217.196,"['quiz', 'quiz']"
223,115.133.225.166,['quiz']
224,115.133.54.114,"['quiz', 'login']"
225,115.133.6.42,"['quiz', 'login']"
226,115.133.65.70,"['quiz', 'login']"
227,115.134.193.34,"['quiz', 'login']"
228,115.134.20.130,['quiz']
229,115.134.34.201,['quiz']
230,115.134.53.49,['quiz']
231,115.134.53.49,"['quiz', 'login']"
232,115.134.57.79,['quiz']
233,115.134.60.51,['quiz']
234,115.135.12.196,['quiz']
235,115.135.124.177,['quiz']
236,115.135.177.18,"['quiz', 'login']"
237,115.164.168.177,['quiz']
238,115.164.168.20,['quiz']
239,115.164.168.203,['quiz']
240,115.164.168.247,['quiz']
241,115.164.168.33,"['quiz', 'login', 'quiz', 'login']"
242,115.164.169.167,['quiz']
243,115.164.169.254,['quiz']
244,115.164.171.114,"['quiz', 'quiz']"
245,115.164.171.2,['quiz']
246,115.164.171.29,"['quiz', 'quiz']"
247,115.164.171.78,"['quiz', 'login']"
248,115.164.171.88,['quiz']
249,115.164.172.113,['quiz']
250,115.164.174.193,['quiz']
